tx_id,from_address,to_address,value,contract_function,gas_used,block_number,timestamp,is_contract
0x0000000000000000000000000000000000000000000000000000000000000000,0x82115ca85622365ee8515307d63d7541f5ce7bba,0x2a9140d4fdf88494c87e94f63b2a290f32012c1c,7.84315853991561,multisend,99963,1,1600000000,True
0x0000000000000000000000000000000000000000000000000000000000000001,0x66f397f1fd298f922946656bbb05ae59b15b0b21,0xac3bed5b2eb39d38a30dc2beb7d55b87e83248b6,49.61618185050154,,21000,1,1600000001,False
0x0000000000000000000000000000000000000000000000000000000000000002,0xcf09214f62b41fc15399699bb7c87d7264a71c9f,0x6871d934c9ae632d5b137f01ef96de989206cccb,3.8692997955124397,playerRollDice,31563,1,1600000002,True
0x0000000000000000000000000000000000000000000000000000000000000003,0x8b004a594738ae1f38b7b177ba322c1a5769543d,0xd849fa7a30697aec48f932b272cbfb3c6c4a6d43,2.812917160694195,SmartAirdrop,75541,1,1600000003,True
0x0000000000000000000000000000000000000000000000000000000000000004,0x95023fe969426a3ef96600c32c8f26da9290a8a7,0x78fda337d47d3cf9e17eeb44347cf2aeb10cee9a,77.21906677864989,,21000,1,1600000004,False
0x0000000000000000000000000000000000000000000000000000000000000005,0xac3bed5b2eb39d38a30dc2beb7d55b87e83248b6,0x8f8a93508fa408225df96517b8475e547dbd8400,6.616357057401593,transfer,95876,1,1600000005,True
0x0000000000000000000000000000000000000000000000000000000000000006,0x96318a5809579c02359aa3cabf523d51ee9fb6c0,0xdab8da51abd14b28e34a7d1f5bca895a3f47c80b,3.502568168932604,PublicMine,34405,1,1600000006,True
0x0000000000000000000000000000000000000000000000000000000000000007,0xd705aed9db3687584906412fdcfc468ca9dd08fe,0x62b7d308670cb7c1f6d4177218779e2bc2174f5b,8.175721147811215,multisend,62249,1,1600000007,True
0x0000000000000000000000000000000000000000000000000000000000000008,0xc5d5b60f227e8338e82566a27b46436337b5a039,0x3c98014da3396754eae5c47427bdd0664f806259,12.436205299434306,,21000,1,1600000008,False
0x0000000000000000000000000000000000000000000000000000000000000009,0x96318a5809579c02359aa3cabf523d51ee9fb6c0,0xa57010144b042ed6aa8006fc32598efc611dd900,1.6033086083203985,playerRollDice,81433,1,1600000009,True
